season,game_id,game_number,game_report_id,play_seq_num,action,play_desc,player_id,team_id,period,clock,home_team_id,home_team_score,is_a_play,narrative_formatted,has_error,goals,assists,shots,shots_on_goal,assist_player_id,good_clear,failed_clear,disruptor_player_id,gw_goals,pp_goals,sh_goals,ua_goals,ot_goals,en_goals,gt_goals,fg_goals,shootout_goals,penalties,shot_clock_violations,rcs,ycs,mn_penalties,mj_penalties,match_penalties,fouls,face_won,face_lost,gbs,dc,ct,turnovers,caused_turnover_player_id,caused_turnover_team,d_save,minutes,seconds,goalie_time,ga,saves,goalie_player_id,shots_faced,scoring_play
2023,418,1,418,0,GOALIE,Caylee Waters at goalie for 352.,107,352,1,10:00,351,0,True,Caylee Waters at goalie for Team Mastroianni.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,1,GOALIE,Kady Glynn at goalie for 351.,186,351,1,10:00,351,0,True,Kady Glynn at goalie for Team Apuzzo.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,2,DC,Draw control by 352 Sam Geiersbach.,490,352,1,10:00,351,0,True,Draw control by Team Mastroianni Sam Geiersbach.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,3,SHOT,Shot by 352 Sam Geiersbach WIDE.,490,352,1,09:28,351,0,True,Shot by Team Mastroianni Sam Geiersbach WIDE.,False,0,0,1,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,186,0,False
2023,418,1,418,4,SHOT,"GOAL by 352 Sam Geiersbach (FIRST GOAL), goal number 1 for season.",490,352,1,09:18,351,0,True,"GOAL by Team Mastroianni Sam Geiersbach (FIRST GOAL), goal number 1 for season.",False,1,0,1,1,,0,0,,0,0,0,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,186,1,True
2023,418,1,418,5,DC,Draw control by 352 Grace Griffin.,400,352,1,09:18,351,0,True,Draw control by Team Mastroianni Grace Griffin.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,6,SHOT,Shot by 352 Dempsey Arsenault WIDE.,138,352,1,08:29,351,0,True,Shot by Team Mastroianni Dempsey Arsenault WIDE.,False,0,0,1,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,186,0,False
2023,418,1,418,7,2PTR,"2-point GOAL by 352 Ally Mastroianni, Assist by Charlotte North, goal number 1 for season.",395,352,1,08:17,351,0,True,"2-point GOAL by Team Mastroianni Ally Mastroianni, Assist by Charlotte North, goal number 1 for season.",False,1,1,1,1,424,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,186,1,True
2023,418,1,418,8,DC,Draw control by 351 Katie O'Donnell.,136,351,1,08:17,351,0,True,Draw control by Team Apuzzo Katie O'Donnell.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,9,CLEAR,Clear attempt by 351 good.,,351,1,07:57,351,0,True,Clear attempt by Team Apuzzo good.,False,0,0,0,0,,1,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,10,TURN,Turnover by 351 Hailey Rhatigan (caused by Katrina Geiger).,698,351,1,07:33,351,0,True,Turnover by Team Apuzzo Hailey Rhatigan (caused by Katrina Geiger).,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,105,0,0,0,0,0,0,0,,0,False
2023,418,1,418,11,GB,Ground ball pickup by 352 Caylee Waters.,107,352,1,07:29,351,0,True,Ground ball pickup by Team Mastroianni Caylee Waters.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,12,CLEAR,Clear attempt by 352 good.,,352,1,07:16,351,0,True,Clear attempt by Team Mastroianni good.,False,0,0,0,0,,1,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,13,SHOT,"Shot by 352 Dempsey Arsenault, SAVE Kady Glynn.",138,352,1,06:53,351,0,True,"Shot by Team Mastroianni Dempsey Arsenault, SAVE Kady Glynn.",False,0,0,1,1,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,186,1,False
2023,418,1,418,14,GB,Ground ball pickup by 351 Abby Bosco.,693,351,1,06:48,351,0,True,Ground ball pickup by Team Apuzzo Abby Bosco.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,15,CLEAR,Clear attempt by 351 good.,,351,1,06:41,351,0,True,Clear attempt by Team Apuzzo good.,False,0,0,0,0,,1,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,16,SHOT,"GOAL by 351 Katie O'Donnell, Assist by Hannah Dorney, goal number 1 for season.",136,351,1,06:32,351,0,True,"GOAL by Team Apuzzo Katie O'Donnell, Assist by Hannah Dorney, goal number 1 for season.",False,1,1,1,1,699,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,107,1,True
2023,418,1,418,17,DC,Draw control by 351 Sam Apuzzo.,130,351,1,06:32,351,1,True,Draw control by Team Apuzzo Sam Apuzzo.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,18,TURN,Turnover by 351 Hailey Rhatigan (caused by Katrina Geiger).,698,351,1,05:44,351,1,True,Turnover by Team Apuzzo Hailey Rhatigan (caused by Katrina Geiger).,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,105,0,0,0,0,0,0,0,,0,False
2023,418,1,418,19,GB,Ground ball pickup by 352 Dempsey Arsenault.,138,352,1,05:39,351,1,True,Ground ball pickup by Team Mastroianni Dempsey Arsenault.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,20,CLEAR,Clear attempt by 352 good.,,352,1,05:35,351,1,True,Clear attempt by Team Mastroianni good.,False,0,0,0,0,,1,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,21,SHOT,Shot by 352 Alex Aust Holman HIT POST.,162,352,1,05:06,351,1,True,Shot by Team Mastroianni Alex Aust Holman HIT POST.,False,0,0,1,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,186,0,False
2023,418,1,418,22,GB,Ground ball pickup by 351 Katie O'Donnell.,136,351,1,05:02,351,1,True,Ground ball pickup by Team Apuzzo Katie O'Donnell.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,23,CLEAR,Clear attempt by 351 good.,,351,1,04:59,351,1,True,Clear attempt by Team Apuzzo good.,False,0,0,0,0,,1,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,False
2023,418,1,418,24,TURN,Turnover by 351 Hailey Rhatigan (caused by Emma Trenchard).,698,351,1,04:28,351,1,True,Turnover by Team Apuzzo Hailey Rhatigan (caused by Emma Trenchard).,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,405,0,0,0,0,0,0,0,,0,False
