sport,api_version,season,seasonId,weekNumber,gameNumber,seasonType,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,week,game_num,season_type,G,GS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_BA,batting_OBP,batting_SLG,batting_TB,batting_SF,batting_SH,AU_POINTS,pitching_W,pitching_L,pitching_ERA,pitching_SHO,pitching_CG,pitching_SV,pitching_IP_str,pitching_IP,pitching_QS,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,pitching_PI,pitching_PI_balls,pitching_PI_strikes,pitcing_game_score,fielding_position,fielding_IP_str,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_FLD%,fielding_CS,fielding_CS%,fielding_TC,fielding_CH,fielding_RF/9,type,teamId,homeTeamFlg
softball,v1,2023,14,0,0,,,,None,,,None,None,None None,1,1,1,1,1,37,28,8,9,2,1,1,8,6,2,2,0,0,0,0.321,0.459,0.571,16,1,0,2068,1,0,2.0,0,0,0,,,0,7,3,2,1,3,5,0,0,,,,,,1.6666666666666667,,14,41,71,,,56.0,56.0,16,12,1,3,0.966,0,0.0,29,29,4.5,Team,188,0
softball,v1,2023,14,0,0,,,,None,,,None,None,None None,1,1,1,1,1,31,27,3,7,0,0,1,3,3,0,5,0,0,0,0.259,0.333,0.37,10,0,1,298,0,1,7.0,0,0,0,,,0,9,8,7,1,6,2,2,0,,,,,,0.3333333333333333,,14,72,83,,,56.0,56.0,18,8,1,0,0.963,0,0.0,27,27,4.178571428571429,Team,187,1
softball,v1,2023,14,0,0,,,,None,,,None,None,None None,1,2,1,1,1,29,24,1,3,1,0,1,1,4,1,5,0,0,0,0.125,0.276,0.292,7,0,0,292,0,1,4.667,0,0,0,,,0,8,4,4,1,1,2,0,0,,,,,,2.0,,14,36,61,,,48.0,48.0,15,8,0,0,1.0,0,0.0,23,23,4.3125,Team,186,0
softball,v1,2023,14,0,0,,,,None,,,None,None,None None,1,2,1,1,1,27,23,4,8,3,0,1,4,1,0,2,0,0,0,0.348,0.36,0.609,14,1,2,2022,1,0,1.0,0,0,1,,,0,3,1,1,1,4,5,1,0,,,,,,1.25,,14,57,84,,,56.0,56.0,16,9,0,0,1.0,0,0.0,25,25,4.017857142857143,Team,189,1
softball,v1,2023,14,0,0,,,,None,,,None,None,None None,1,3,1,1,1,28,23,3,4,1,0,0,3,2,2,2,0,0,0,0.174,0.286,0.217,5,1,0,428,0,1,4.59,0,0,0,,,0,7,4,4,1,3,4,1,0,,,,,,1.3333333333333333,,14,60,78,,,56.0,56.0,15,8,1,0,0.958,0,0.0,24,24,3.6964285714285716,Team,189,0
softball,v1,2023,14,0,0,,,,None,,,None,None,None None,1,3,1,1,1,30,26,4,7,0,0,1,4,3,1,4,2,2,0,0.269,0.367,0.385,10,0,0,1826,1,0,3.0,0,0,0,,,0,4,3,3,0,2,2,2,0,,,,,,1.0,,14,34,75,,,56.0,56.0,18,5,0,3,1.0,0,0.0,23,23,3.6964285714285716,Team,187,1
softball,v1,2023,14,0,0,,,,None,,,None,None,None None,1,4,1,1,1,30,25,1,5,0,0,0,1,4,0,8,0,0,0,0.2,0.31,0.2,5,0,1,284,0,1,3.5,0,0,0,,,0,8,3,3,1,0,4,1,1,,,,,,inf,,14,19,68,,,48.0,48.0,14,8,0,2,1.0,0,0.0,22,22,4.125,Team,188,0
softball,v1,2023,14,0,0,,,,None,,,None,None,None None,1,4,1,1,1,26,25,3,8,0,0,1,3,0,1,4,0,0,0,0.32,0.346,0.44,11,0,0,1962,1,0,1.0,0,0,1,,,0,5,1,1,0,4,8,0,0,,,,,,2.0,,14,48,88,,,56.0,56.0,13,5,0,0,1.0,0,0.0,18,18,2.892857142857143,Team,186,1
softball,v1,2023,14,0,0,,,,None,,,None,None,None None,1,5,1,1,1,32,24,3,6,0,0,1,3,5,1,5,2,2,0,0.25,0.4,0.375,9,0,2,534,0,1,4.59,0,0,0,,,0,7,4,4,0,4,4,1,1,,,,,,1.0,,14,47,73,,,55.1,55.333,15,6,0,0,1.0,0,0.0,21,21,3.4156832270073916,Team,189,0
softball,v1,2023,14,0,0,,,,None,,,None,None,None None,1,5,1,1,1,31,26,4,7,1,0,0,4,4,1,4,2,2,0,0.269,0.387,0.308,8,0,0,1794,1,0,3.0,0,0,0,,,0,6,3,3,1,5,5,1,0,,,,,,1.0,,14,59,88,,,56.0,56.0,15,9,0,3,1.0,0,0.0,24,24,3.857142857142857,Team,188,1
softball,v1,2023,14,0,0,,,,None,,,None,None,None None,1,6,1,1,1,31,26,4,7,1,0,0,4,3,1,2,0,0,0,0.269,0.355,0.308,8,1,0,2126,1,0,0.0,0,0,1,,,0,2,0,0,0,1,6,1,0,,,,,,6.0,,14,29,73,,,56.0,56.0,15,9,0,0,1.0,0,0.0,24,24,3.857142857142857,Team,187,0
softball,v1,2023,14,0,0,,,,None,,,None,None,None None,1,6,1,1,1,25,23,0,2,1,0,0,0,1,1,6,0,0,0,0.087,0.16,0.13,3,0,0,90,0,1,4.0,0,0,0,,,0,7,4,4,0,3,2,1,0,,,,,,0.6666666666666666,,14,47,80,,,56.0,56.0,19,8,0,3,1.0,0,0.0,27,27,4.339285714285714,Team,186,1
