sport,api_version,type,teamId,homeTeamFlg,season,season_id,week_number,game_number,season_type,player_id,uniform_number,uniform_number_display,secondary_position_lk,first_name,last_name,full_name,G,MIN,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,TS%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles,GmSc
basketball,v1,Team,418,0,2024,171,1,1,Championship,,,None,,None,None,None None,,152,27,73,0.37,7,21,0.333,20,52,0.385,6,10,0.6,9,26,35,18,9,2,16,67,1088,0.418,0.433,7,4,2,6,0,0,0,0,166.63999999999996
basketball,v1,Team,417,1,2024,171,1,1,Championship,,,None,,None,None,None None,,78,35,69,0.507,9,23,0.391,26,46,0.565,9,10,0.9,3,34,37,22,11,9,15,88,4736,0.572,0.599,4,7,6,2,0,0,0,0,427.19
basketball,v1,Team,416,0,2024,171,1,2,Championship,,,None,,None,None,None None,,0,35,89,0.393,8,20,0.4,27,69,0.391,16,18,0.889,15,29,44,19,14,11,13,94,4553,0.438,0.485,13,9,7,3,3,2,2,0,617.61
basketball,v1,Team,419,1,2024,171,1,2,Championship,,,None,,None,None,None None,,,32,78,0.41,6,19,0.316,26,59,0.441,21,26,0.808,15,31,46,20,9,10,21,91,1521,0.449,0.509,9,13,3,7,2,3,1,0,504.5999999999999
basketball,v1,Team,419,0,2024,171,1,3,Championship,,,None,,None,None,None None,,,26,71,0.366,3,22,0.136,23,49,0.469,27,35,0.771,8,34,42,15,4,4,16,82,1762,0.387,0.475,11,14,6,10,1,1,0,0,240.26
basketball,v1,Team,417,1,2024,171,1,3,Championship,,,None,,None,None,None None,,47,38,76,0.5,14,28,0.5,24,48,0.5,13,20,0.65,3,31,34,27,13,5,14,103,4123,0.592,0.607,14,11,10,6,1,1,0,0,326.9
basketball,v1,Team,418,0,2024,171,1,4,Championship,,,None,,None,None,None None,,118,30,71,0.423,9,23,0.391,21,48,0.438,19,22,0.864,14,26,40,23,9,9,18,88,2182,0.486,0.545,9,8,6,8,0,1,2,0,434.21
basketball,v1,Team,416,1,2024,171,1,4,Championship,,,None,,None,None,None None,,99,32,69,0.464,6,19,0.316,26,50,0.52,22,26,0.846,6,23,29,21,11,4,10,92,3951,0.507,0.572,8,9,8,6,1,0,0,0,262.03999999999996
basketball,v1,Team,419,0,2024,171,1,5,Championship,,,None,,None,None,None None,,92,31,80,0.388,9,24,0.375,22,56,0.393,19,23,0.826,14,37,51,16,4,8,5,90,4539,0.444,0.499,8,12,7,1,1,1,1,0,442.69999999999993
basketball,v1,Team,418,1,2024,171,1,5,Championship,,,None,,None,None,None None,,132,30,76,0.395,3,14,0.214,27,62,0.435,14,19,0.737,7,34,41,15,3,6,7,77,1308,0.414,0.456,12,8,1,7,1,1,0,0,331.64
basketball,v1,Team,417,0,2024,171,1,6,Championship,,,None,,None,None,None None,,71,36,69,0.522,11,25,0.44,25,44,0.568,24,27,0.889,8,20,28,24,12,4,18,107,4754,0.601,0.661,14,9,6,11,4,2,1,0,275.44
basketball,v1,Team,416,1,2024,171,1,6,Championship,,,None,,None,None,None None,,140,36,70,0.514,7,19,0.368,29,51,0.569,24,31,0.774,10,21,31,23,9,4,18,103,1517,0.564,0.616,9,14,11,6,2,4,1,0,267.8
